course_code,name,courseries,term,course_major,course_type,course_level,teaching_type,grading_type,credit,hours,hours_per_week,campus,start_week,end_week,teachers,description,description_eng,teaching_material,reference_material,student_requirements,homepage
CMAA 5002,Animation Art: From Concept to Production,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"ZHANG, Junjie","From screenplay through post-production, students are immersed in the collaborative animation pipeline. In this course, students will utilize a variety of animation tools and techniques to tell a compelling story and experience the diverse roles within the animation industry through storyboarding, editing and completion of a short animated film.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 5007,Computational Approach to Chinese Calligraphy,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"ZHANG, Kang;ZHANG, Kang","This course covers the most fundamental knowledge and techniques of Chinese calligraphy and its important role in the modern technological advances. The history and various styles of calligraphy, history and principles of making rice paper, seal making and its role, and best-known calligraphers are introduced. Students will first learn and practice writing Chinese calligraphy on rice paper and then use deep learning tools to transfer interesting calligraphy styles. Students will develop projects, such as programming to generate or drive robots to write calligraphy. There will be guest lectures by well-known Chinese calligraphers and researchers in digitizing and modernizing Chinese calligraphy. A trip is planned to visit the best-known rice paper factory (çº¢æå®£çº¸å) in Jingxian, Anhui, where all Four Treasures of calligraphy are located.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 5013,Interactive Storytelling,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"YIP, David Kei Man","This course explores interactive storytelling as cinematic, narrative and interactive art forms. It focuses on the art and techniques of visual storytelling that can interact thematically with the audience in meaningful ways. Students will learn about the key aspects of filmmaking and can apply narrative and interactive principles to storytelling in playable media and platform.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 5017,"AR/VR/MR/XR: Concepts, Theory and Techniques",CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"FAN, Mingming","This course introduces students to the concepts, theories, and interaction techniques in AR/VR/MR/XR. It covers both the fundamental concepts and design theories and the state-of-the-art interaction techniques in the field. In addition, students will work independently or in teams to design, develop, and evaluate AR/VR/MR/XR prototypes. In sum, by the end of the class, students will have a solid grasp of the fundamental concepts, design principles and research gaps in AR/VR/MR/XR and gain hands-on experience in designing and evaluating AR/VR/MR/XR prototypes.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 5022,Social Media for Creatives,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"HUI, Pan;HUI, Pan","This course introduces art and media students to the various online social media platforms, as well as the fundamentals of producing artistic and creative media content in collaborative group projects. The course covers a wide range of interesting topics related to art and creativity techniques and functions on social media platforms, including but not limited to: digital storytelling, games and gamification, immersive art technologies, presentation, and advertisement. By the end of this course, students will have a better understanding of art and creativity on social media platforms.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 5027,"Emerging Technologies in Media, Art and Heritage",CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"SHE, Pei Man James","This course provides students with the necessary knowledge and skills to critically evaluate the role and use of emerging computational technologies in Art, Media, and Heritage. These technologies include Generative AI, Natural Language Processing, Sentiment Analysis, and others. Students will learn to select and assess these technologies based on their ability to best support the core values of art creation, media production, and heritage applications through various coursework. The course will feature real-world experience, case studies, and guest speakers to provide students with a practical understanding of these technologies. Furthermore, students will receive hands-on technical training through weekly or bi-weekly practical activities. Eventually, students will develop innovative content or applications for exhibition or real-world collaboration.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 5031,Introduction to Game Development,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"LIANG, Haining","This is a comprehensive course designed to introduce students to the fundamental aspects of game creation. Covering topics from game design principles, programming basics, art and sound design, to industry-standard software and tools, this course offers a hands-on approach to learning. Students will engage in both theoretical understanding and practical application, leading to the development of their own simple game project by the end of the course. This course is ideal for beginners aspiring to enter the field of game development and those seeking to understand the basics of this dynamic and creative industry.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 6018A,Independent Study,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,39,3,GZ,1,13,"FAN, Mingming;HUI, Pan;WANG, Zeyu;SHE, Pei Man James;SHE, Pei Man James;SHE, Pei Man James;ZENG, Wei;HUI, Pan;YIP, David Kei Man;ZHANG, Junjie;ZENG, Wei;YU, Luwen;ZHANG, Junjie;WANG, Zeyu;WANG, Yuyang;TONG, Xin",An independent research project carried out under the supervision of a faculty member.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 6018B,Independent Study,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,1,39,3,GZ,1,13,,An independent research project carried out under the supervision of a faculty member.,,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
CMAA 6019A,Research Design and Optimization,CMAA,2024-1,CMAA,CMAA,Graduate,Regular,Letter Grade,3,3,3,GZ,1,13,"WANG, Yuyang;YU, Luwen","This course is for students who want to improve their skills in designing and optimizing research experiments. It focuses on helping students understand the difference between exploring new ideas and confirming what we already know. The course covers key concepts like how to plan experiments, test different variables, and find the best solutions using advanced techniques. Students will also learn both quantitative (numbers-based) and qualitative (observation-based) research methods, giving them a strong foundation for conducting experiments. Along with learning how to design experiments, students will get hands-on experience with statistical tools to analyze data and make informed decisions. By the end of the course, students will be confident in using these methods to solve real-world problems and improve processes in different areas of research.",,,,,https://w5.hkust-gz.edu.cn/wcq/cgi-bin/2430/subject/CMAA
